epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.6661,1.32333,11.614,0.00961,0.00249,0.33333,0.22386,0.17939,1.30491,6.13154,0.00944,0.0003875,0.0003875,0.0003875
2,37.8551,1.05378,9.00875,0.0075,0.87401,0.31481,0.37555,0.28093,1.13549,5.27125,0.00912,0.000709538,0.000709538,0.000709538
3,48.3972,1.01026,7.47785,0.00737,0.8147,0.50929,0.79988,0.48256,1.20498,4.24427,0.00811,0.000952375,0.000952375,0.000952375
4,58.9605,0.99067,6.41017,0.00661,0.86804,0.6049,0.83197,0.63025,0.94975,3.00197,0.00703,0.00087875,0.00087875,0.00087875
5,69.8897,0.91868,5.53191,0.00641,0.79851,0.83066,0.89573,0.61325,0.94193,1.88441,0.00687,0.000755,0.000755,0.000755
6,80.9688,0.85161,4.83357,0.00601,0.78568,0.84793,0.90621,0.66187,0.85551,1.4584,0.00623,0.00063125,0.00063125,0.00063125
7,92.0309,0.84629,4.36688,0.00577,0.76256,0.92911,0.92301,0.68104,0.87774,0.96808,0.00652,0.0005075,0.0005075,0.0005075
8,103.11,0.72022,3.9053,0.00491,0.86957,0.79387,0.94364,0.75549,0.69527,0.7604,0.005,0.00038375,0.00038375,0.00038375
9,113.896,0.67815,3.61337,0.00467,0.86152,0.90456,0.93666,0.76583,0.71546,0.60988,0.00503,0.00026,0.00026,0.00026
10,123.877,0.66852,3.43647,0.00437,0.94162,0.88709,0.94278,0.77384,0.68869,0.53693,0.00497,0.00013625,0.00013625,0.00013625
